task,shot,dataset,combo,Final Accuracy,Final F1,Final AUROC
Graph,1shot,MUTAG,DGI+All-in-one,0.7253±0.0919,0.6913±0.1031,0.8750±0.0080
Graph,1shot,MUTAG,DGI+DAGPrompT,0.6840±0.0616,0.6420±0.0603,0.6691±0.0516
Graph,1shot,MUTAG,DGI+EdgePrompt,0.3320±0.0129,0.2492±0.0072,0.5153±0.0519
Graph,1shot,MUTAG,DGI+EdgePromptplus,0.3320±0.0129,0.2492±0.0072,0.5496±0.0216
Graph,1shot,MUTAG,DGI+GPF,0.6613±0.0732,0.6476±0.0716,0.7195±0.0144
Graph,1shot,MUTAG,DGI+GPF-plus,0.6493±0.0538,0.5893±0.0824,0.7301±0.0312
Graph,1shot,MUTAG,DGI+GPPT,0.3427±0.0328,0.2706±0.0490,0.1746±0.0933
Graph,1shot,MUTAG,DGI+Gprompt,0.6173±0.1405,0.5992±0.1364,0.6821±0.1271
Graph,1shot,MUTAG,DGI+GraphPrompter,0.7147±0.0341,0.6906±0.0210,0.7186±0.0351
Graph,1shot,MUTAG,DGI+Prodigy,0.6613±0.0165,0.6000±0.0363,0.6197±0.0250
Graph,1shot,MUTAG,DGI+RELIEF,0.4680±0.1654,0.3104±0.0744,0.5000±0.0000
Graph,1shot,MUTAG,Edgepred_Gprompt+All-in-one,0.6760±0.0331,0.6288±0.0468,0.7427±0.0084
Graph,1shot,MUTAG,Edgepred_Gprompt+DAGPrompT,0.6880±0.0435,0.6425±0.0358,0.6632±0.0398
Graph,1shot,MUTAG,Edgepred_Gprompt+EdgePrompt,0.5160±0.0237,0.4694±0.0129,0.4111±0.0186
Graph,1shot,MUTAG,Edgepred_Gprompt+EdgePromptplus,0.3973±0.0161,0.3494±0.0331,0.7976±0.0130
Graph,1shot,MUTAG,Edgepred_Gprompt+GPF,0.7040±0.0328,0.6556±0.0454,0.7562±0.0137
Graph,1shot,MUTAG,Edgepred_Gprompt+GPF-plus,0.7040±0.0282,0.6599±0.0466,0.7715±0.0158
Graph,1shot,MUTAG,Edgepred_Gprompt+GPPT,0.4573±0.1668,0.4079±0.2019,0.3778±0.2963
Graph,1shot,MUTAG,Edgepred_Gprompt+Gprompt,0.7240±0.0326,0.6966±0.0230,0.7693±0.0248
Graph,1shot,MUTAG,Edgepred_Gprompt+GraphPrompter,0.7507±0.0225,0.7227±0.0207,0.7319±0.0297
Graph,1shot,MUTAG,Edgepred_Gprompt+Prodigy,0.4947±0.1149,0.4695±0.1061,0.5215±0.0645
Graph,1shot,MUTAG,Edgepred_Gprompt+RELIEF,0.5320±0.1629,0.3394±0.0736,0.4949±0.0063
Graph,1shot,MUTAG,GraphCL+All-in-one,0.6533±0.0854,0.5978±0.1153,0.7969±0.0112
Graph,1shot,MUTAG,GraphCL+DAGPrompT,0.6360±0.0889,0.5799±0.1009,0.6369±0.0740
Graph,1shot,MUTAG,GraphCL+EdgePrompt,0.5667±0.0270,0.3615±0.0110,0.2946±0.0196
Graph,1shot,MUTAG,GraphCL+EdgePromptplus,0.5640±0.0080,0.5626±0.0080,0.6979±0.0174
Graph,1shot,MUTAG,GraphCL+GPF,0.6133±0.0659,0.5455±0.0918,0.7129±0.0177
Graph,1shot,MUTAG,GraphCL+GPF-plus,0.6267±0.0856,0.6141±0.0879,0.7077±0.0217
Graph,1shot,MUTAG,GraphCL+GPPT,0.3587±0.0586,0.2717±0.0362,0.2135±0.0992
Graph,1shot,MUTAG,GraphCL+Gprompt,0.5280±0.0841,0.5140±0.0931,0.5783±0.1333
Graph,1shot,MUTAG,GraphCL+GraphPrompter,0.6347±0.0782,0.5832±0.0994,0.6382±0.0754
Graph,1shot,MUTAG,GraphCL+Prodigy,0.6013±0.0651,0.5653±0.0637,0.6596±0.0384
Graph,1shot,MUTAG,GraphCL+RELIEF,0.5320±0.1658,0.3715±0.1099,0.5113±0.0179
Graph,1shot,MUTAG,GraphMAE+All-in-one,0.7093±0.0823,0.6797±0.0765,0.8684±0.0085
Graph,1shot,MUTAG,GraphMAE+DAGPrompT,0.6587±0.0777,0.6149±0.0653,0.6533±0.0426
Graph,1shot,MUTAG,GraphMAE+EdgePrompt,0.6373±0.0496,0.5650±0.0169,0.7462±0.0160
Graph,1shot,MUTAG,GraphMAE+EdgePromptplus,0.5640±0.1103,0.5424±0.1436,0.7352±0.0102
Graph,1shot,MUTAG,GraphMAE+GPF,0.6627±0.0727,0.5980±0.1096,0.7272±0.0151
Graph,1shot,MUTAG,GraphMAE+GPF-plus,0.6413±0.0827,0.6226±0.0831,0.7112±0.0169
Graph,1shot,MUTAG,GraphMAE+GPPT,0.4533±0.1607,0.3812±0.1688,0.3695±0.2864
Graph,1shot,MUTAG,GraphMAE+Gprompt,0.6947±0.0658,0.6619±0.0462,0.7348±0.0475
Graph,1shot,MUTAG,GraphMAE+GraphPrompter,0.6680±0.0394,0.6113±0.0675,0.6433±0.0543
Graph,1shot,MUTAG,GraphMAE+Prodigy,0.6427±0.0673,0.5909±0.0549,0.5991±0.0614
